8/30/2018,Cash,0.18,8/13/2018,8/31/2018,9/11/2018,
7/30/2018,Cash,0.18,7/12/2018,7/31/2018,8/8/2018,
6/28/2018,Cash,0.18,6/13/2018,6/29/2018,7/9/2018,
5/30/2018,Cash,0.18,5/10/2018,5/31/2018,6/8/2018,
4/27/2018,Cash,0.18,4/12/2018,4/30/2018,5/9/2018,
3/28/2018,Cash,0.18,3/13/2018,3/29/2018,4/9/2018,
2/27/2018,Cash,0.18,2/13/2018,2/28/2018,3/8/2018,
1/30/2018,Cash,0.18,1/11/2018,1/31/2018,2/8/2018,
12/28/2017,Cash,0.18,12/12/2017,12/29/2017,1/9/2018,
11/29/2017,Cash,0.18,11/14/2017,11/30/2017,12/8/2017,
10/30/2017,Cash,0.18,10/12/2017,10/31/2017,11/9/2017,
9/28/2017,Cash,0.18,9/11/2017,9/29/2017,10/10/2017,
8/29/2017,Cash,0.18,8/14/2017,8/31/2017,9/8/2017,
7/27/2017,Cash,0.18,7/13/2017,7/31/2017,8/7/2017,
6/28/2017,Cash,0.18,6/14/2017,6/30/2017,7/7/2017,
5/26/2017,Cash,0.18,5/11/2017,5/31/2017,6/8/2017,
4/26/2017,Cash,0.18,4/13/2017,4/28/2017,5/8/2017,
3/29/2017,Cash,0.18,3/14/2017,3/31/2017,4/7/2017,
2/24/2017,Cash,0.18,2/14/2017,2/28/2017,3/8/2017,
1/27/2017,Cash,0.18,1/12/2017,1/31/2017,2/8/2017,
12/28/2016,Cash,0.18,12/14/2016,12/30/2016,1/9/2017,
11/28/2016,Cash,0.18,11/14/2016,11/30/2016,12/8/2016,
10/27/2016,Cash,0.18,10/12/2016,10/31/2016,11/8/2016,
9/28/2016,Cash,0.18,9/14/2016,9/30/2016,10/7/2016,
8/29/2016,Cash,0.18,7/27/2016,8/31/2016,9/9/2016,
7/27/2016,Cash,0.2,7/14/2016,7/29/2016,8/8/2016,
6/28/2016,Cash,0.2,6/13/2016,6/30/2016,7/8/2016,
5/26/2016,Cash,0.2,5/12/2016,5/31/2016,6/9/2016,
4/27/2016,Cash,0.2,4/12/2016,4/29/2016,5/9/2016,
3/29/2016,Cash,0.2,3/10/2016,3/31/2016,4/8/2016,
2/25/2016,Cash,0.2,2/11/2016,2/29/2016,3/8/2016,
1/27/2016,Cash,0.2,1/14/2016,1/29/2016,2/8/2016,
12/29/2015,Cash,0.2,12/14/2015,12/31/2015,1/8/2016,
11/25/2015,Cash,0.2,11/12/2015,11/30/2015,12/9/2015,
10/28/2015,Cash,0.2,10/13/2015,10/30/2015,11/9/2015,
9/28/2015,Cash,0.2,9/14/2015,9/30/2015,10/9/2015,
8/27/2015,Cash,0.2,8/12/2015,8/31/2015,9/8/2015,
7/29/2015,Cash,0.2,7/13/2015,7/31/2015,8/7/2015,
6/26/2015,Cash,0.2,6/10/2015,6/30/2015,7/8/2015,
5/27/2015,Cash,0.2,4/27/2015,5/29/2015,6/5/2015,
4/28/2015,Cash,0.22,4/13/2015,4/30/2015,5/8/2015,
3/27/2015,Cash,0.22,3/12/2015,3/31/2015,4/10/2015,
2/25/2015,Cash,0.22,2/12/2015,2/27/2015,3/6/2015,
1/28/2015,Cash,0.22,1/15/2015,1/30/2015,2/6/2015,
12/29/2014,Cash,0.22,12/15/2014,12/31/2014,1/9/2015,
11/25/2014,Cash,0.22,11/17/2014,11/28/2014,12/5/2014,
10/29/2014,Cash,0.22,10/16/2014,10/31/2014,11/7/2014,
9/26/2014,Cash,0.65,9/18/2014,9/30/2014,10/27/2014,
6/26/2014,Cash,0.65,6/16/2014,6/30/2014,7/28/2014,
3/27/2014,Cash,0.65,3/20/2014,3/31/2014,4/28/2014,
12/27/2013,Cash,0.65,12/18/2013,12/31/2013,1/28/2014,
9/26/2013,Cash,0.8,9/19/2013,9/30/2013,10/28/2013,
6/26/2013,Cash,1.05,6/18/2013,6/28/2013,7/26/2013,
3/18/2013,Cash,1.25,3/7/2013,3/20/2013,4/26/2013,
12/24/2012,Cash,1.25,12/14/2012,12/27/2012,1/28/2013,
9/19/2012,Cash,1.25,9/11/2012,9/21/2012,10/26/2012,
6/19/2012,Cash,1.25,6/11/2012,6/21/2012,7/27/2012,
3/5/2012,Cash,1.25,2/6/2012,3/7/2012,4/27/2012,
12/20/2011,Cash,1.4,12/12/2011,12/22/2011,1/27/2012,
9/21/2011,Cash,1.4,9/13/2011,9/23/2011,10/27/2011,
6/21/2011,Cash,1.4,6/10/2011,6/23/2011,7/27/2011,
3/21/2011,Cash,1.4,3/7/2011,3/23/2011,4/27/2011,
12/29/2010,Cash,1.4,12/17/2010,12/31/2010,1/27/2011,
9/24/2010,Cash,1.4,9/14/2010,9/28/2010,10/27/2010,
6/28/2010,Cash,1.4,6/15/2010,6/30/2010,7/28/2010,
3/29/2010,Cash,1.4,3/16/2010,3/31/2010,4/28/2010,
12/29/2009,Cash,1.4,12/18/2009,12/31/2009,1/26/2010,
9/30/2009,Cash,1.4,9/22/2009,10/2/2009,10/27/2009,
6/30/2009,Cash,1.5,6/22/2009,7/2/2009,7/27/2009,
3/31/2009,Cash,0.85,3/23/2009,4/2/2009,4/27/2009,
12/29/2008,Cash,1.2,--,12/31/2008,1/26/2009,
9/25/2008,Cash,1,9/19/2008,9/29/2008,10/10/2008,
6/30/2008,Cash,0.31,6/23/2008,7/2/2008,7/29/2008,
